"song","tags"
"Broken Just Fine-JP","Singer-Songwriter,Light,Playful,bouncy"
"Nightmares To Dreams-JP","Dark,Worried,Sad,Edgy"
"Sensing A Connection-instr-JP","campy,Cheeky,Comedy,Dramedy"
"Christmas Lights-instr-JP","Cooking,Christmas,Sweet,thanksgiving,Holiday,Lights,Seasonal"
"The Low Lo-JP","Pop,Beat,Positive,Promo"
"I Brought the Drugs-JP","Passion Pit,MGMT"
"Bring It 005-JP","Top 40,Hip Hop,Promo,TV"
"Black Box-JP","Futuristic,Computer,Digital,Robotic"
"Missing You This Christmas-JP","reflective,Soft,Romantic,Holiday"
"Holiday Pop-JP","Fun,Children,Toys,Shopping"
"Country Christmas Blues-JP","Fun,Rocking,Upbeat,Positive"
"Christmas Mornings-JP","Soft,Gentle,Beautiful,Melancholy"
"Blueman Blues-JP","Happy,Positive,Video Games,Science"
"Up and Away-MG-JP","New Home,Shoreline Property,vacation home,Easy Living"
"Touch 003-JP","Romance,Wedding,Love,Etherial"
"Reptillian-JP","Horror,Creepy,Scary,Dark"
"Apple Sauce 001-JP","Comedy,Corny,Happy,Sugary"
"Feeling Good 006-JP","Cute,Indie pop,Quirky,Fun,bouncy,Silly"
"Hopscotch 005-JP","Score,Nostalgia,Innocent,Indie"
"Sphere-JP","space,Atmosphere,Technology"
"Calm During The Storm-JP","Calm,Montage,Lab,trip hop"
"Fruit Cake 001-JP","bouncy,Christmas,Pop,festive,Fun,Holidays"
"Cool Fool-JP","Quirky,Retro,Silly,Minimalist,Funky,wacky"
"Broken 012-JP","Sad,Emo,Gothic,minor key,Electric Guitar,Lonely,Friday Night Lights"
"Chinatown-JP","Modern,Chinese,Pop,Quirky,Traditional,Erhu,mashup,fusion,Asian"
"Little Havana 003-JP","Laid Back,Jungle,Tribal,Sensual,Hypnotic,Tribe"
"Cool Breeze 005-JP","new agey,Earthy,Planet Earth,Smooth,Chill,Relaxed"
"Recess 001-JP","80s,House,Dance,Party,Club,1980s,Fashion,En Vogue,vogueing"
"Halls of Heaven-JP","Ethereal,Epic,80s,1980s,Synths,Melancholic,Emotional,Goth"
"You are a Sneaky One Instr-JP","Indie,Mischievous,Sneaky,Suspicious,Sneaking,Tricky"
"You Little Stinker Instr-JP","Quirky,Reggae,Mischievous,Intriguing,interesting,Cute"
"Major Lasers BE Main-JP","Evil,Menacing,Moving,Haunting,Tough,Rap"
"Be The Range Main-JP","Gangsta,Driving,Menacing,Strong,Proud,Heavy"
"Be Fueling The Flame Main-JP","Epic,Edgy,Powerful,Driving,Confident,Strong"
"All The Way Home 001-JP","upbeat rock,NYC,Hipster,Brooklyn"
"Alpha Dogs-JP","Swung,Driving,Country Rock,Bluesy rock,Classic Rock,Bar"
"Night Club Party-JP","Deep House,Piano,Dance"
"Who We R-instr-JP","Radio,Underscore,Feel Good,Modern"
"Tonight into Forever-JP","Radio,song,Top40,Modern"
"Rise Up 005-JP","Dramatic,Radio,Underscore,realityshow"
"Rise up Bumper 1-JP","Dramatic,Radio,Underscore,realityshow"
"Falling for you 002-JP","Dramatic,Radio,song,realityshow"
"Dont Take Your Light Away-JP","Acoustic,Beautiful,Reminiscent"
"Dont Take Your Light Away Instr-JP","Acoustic,Beautiful,Reminiscent"
"American Roulette 001-JP","bass driven"
"American Roulette Instr-JP","bass driven"
"Friends and Lazers-JP","Party,Club,Dance,Epic"
"Collision Course 002-JP","Intense,Epic,Orchestral,Driving,Battle,Lord of the Rings,battling,War,war monger,WWII,WWI,Game of Thrones"
"Modern Day Warrior-JP","Intense,Epic,Orchestral,Driving,Battle,Lord of the Rings,battling,War,war monger,WWII,WWI,Game of Thrones"
"Climbing Towards Olympus-JP","Intense,Epic,Orchestral,Driving,Battle,Lord of the Rings,battling,War,war monger,WWII,WWI,Game of Thrones"
"Blunder 001-JP","Country,Love,Quirky"
"Like Were Seventeen-JP","Chill,Tropical,Island,Beach"
"Everything Comes Back-JP","Pop,Positive,love happy"
"Vehicles 001-JP","Hip Hop,Comedic,Rap,rb"
"LS Zithering Heights-JP","Nervous,Anxious,Dangerous,Suspenseful,Investigation,dark and creepy,gritty sequence,Detectives,Crime Scene,Killer,Criminal,on the hunt,Tense Moment,Scary,into the unkown,Dark Room,just around the corner,X Files"
"LS Where To-JP","Nervous,Anxious,Dangerous,Suspenseful,Investigation,dark and creepy,gritty sequence,Detectives,Crime Scene,Killer,Criminal,on the hunt,Tense Moment,Scary,into the unkown,Dark Room,just around the corner,X Files"
"Elements-JP","Fun,Party,Epic,Modern"
"LS Sneakers-JP","Nervous,Anxious,Dangerous,Suspenseful,Investigation,dark and creepy,gritty sequence,Detectives,Crime Scene,Killer,Criminal,on the hunt,Tense Moment,Scary,into the unkown,Dark Room,just around the corner,X Files"
"LS Newtral-JP","Nervous,Anxious,Dangerous,Suspenseful,Investigation,dark and creepy,gritty sequence,Detectives,Crime Scene,Killer,Criminal,on the hunt,Tense Moment,Scary,into the unkown,Dark Room,just around the corner,X Files"
"LS Kill In-JP","Nervous,Anxious,Dangerous,Suspenseful,Investigation,dark and creepy,gritty sequence,Detectives,Crime Scene,Killer,Criminal,on the hunt,Tense Moment,Scary,into the unkown,Dark Room,just around the corner,X Files"
"LS Dysphoria-JP","Nervous,Anxious,Dangerous,Suspenseful,Investigation,dark and creepy,gritty sequence,Detectives,Crime Scene,Killer,Criminal,on the hunt,Tense Moment,Scary,into the unkown,Dark Room,just around the corner,X Files"
"LS Dis Chord-JP","Nervous,Anxious,Dangerous,Suspenseful,Investigation,dark and creepy,gritty sequence,Detectives,Crime Scene,Killer,Criminal,on the hunt,Tense Moment,Scary,into the unkown,Dark Room,just around the corner,X Files"
"LS Cloak and Danger-JP","Nervous,Anxious,Dangerous,Suspenseful,Investigation,dark and creepy,gritty sequence,Detectives,Crime Scene,Killer,Criminal,on the hunt,Tense Moment,Scary,into the unkown,Dark Room,just around the corner,X Files"
"Here Comes Trouble-JP","Dramedy,Mischievous,Playful,Urban,Silly,Real Housewives,Atlanta,Impending Doom,Danger,Aggressive,Dramatic,Death,Running,Horror,Murder"
"Concerned Investigator-JP","Criminal,american crime story,Tense,Determined,Suspenseful,Investigative"
"The Magic Funk-JP","Disco,Retro,Funky,Funk,Throwback,70s"
"Thunder Wind-JP","Dreamy,Synth Pop,Electronic,electro,bouncy,Poppy"
"Hip Hop Reality 10-JP","Mischievous,Playful,Trouble,Light"
"Jazzy Yazz Jazz-JP","Cafe,jazz,Jazz Club,Relaxing,Rainy,Rainy day,Mellow,Woody Allen"
"Octagon Cage-JP","UFC,Rough,Tough,Brutal,MMA,Fighting"
"Blues 1-JP","Bar,Southern,Deep South,Bluesy,Blues,Louisiana"
"Jumping Back In-JP","Throwback,70s,Funk,Funky,Retro,Detective,Spy"
"Provoke-JP","aggravate,enrage,Anger,irk"
"Passive Aggression-JP","Hostile,Violent,Attack,Forceful"
"Old Money-JP","Thinking,Reflection,Sentimental,Worried"
"Grind Mode 001-JP","Intimate,Working,focused"
"Twas The Night Before-JP","Light,Sneaky,Comedy,Holidays,Funny,Comic"
"Jingle Me Baby-JP","Light,Sneaky,Comedy,Holidays,Funny,Comic"
"Christmas Housewives-JP","Quirky,Holidays,Sneaky,Funny,Silly,Comedy"
"Battering Ram-JP","Exciting,Driving,TruTV,Upbeat,pumped,Extreme"
"Tell Me Usher Type-JP","sexy smooth urban rnb modern"
"Poison 003-JP","soulful hiphop feel good sexy smooth"
"Dynamite 004-JP","feel good happy"
"Rubix Cube-JP","hiphop strings classic epic"
"Dont Get in My Way-JP","hardcore hiphop gangsta new york east coast"
"Saints of Darkness-JP","Death Metal,Intense,Aggressive,Hard"
"Inferno 005-JP","Party,Dance,70's,Fun"
"Dance the Clouds Away-JP","Fun,Happy,Light,bouncy"
"Soul Patrolla-JP","AfroBeat,Carnival,Dancehall,riddim,Hot,Sexy"
"Rockin On Them Jiggas-JP","Streets,Strip Club,bando,Dirty South,Trap,Tough"
"Dubstep To This-JP","Sports,Wobble,Gritty,Fight,Intense,Extreme"
"Dont Spill The Mustard-JP","Mellow,Club,Streets,Chill,Bollywood,Middle Eastern,Indian"
"A Trusted Brand-JP","Downtempo,Chill,Lounge,Bollywood,Sexy,Sensual"
"Crash Barrier-JP","Exciting,Driving,TruTV,Upbeat,pumped,Extreme"
"The Come Up-JP","Scheme,plot,working hard,Determined"
"My Quickest Route-MG-JP","upbeat groovy,on the hunt,House Hunting,Beachfront Bargain,renovation,HGTV,New Home,remodeling,groovy reality"
"So Long Summer-MG-JP","Celebration,Happy Ending,Success,house remodel,Beachfront Bargain Hunt,Happy Day,Summer Vacation"
"LL Single Tear-JP","active moment,drama bed,Investigation,Detectives,on the hunt,Dramatic Moment,Loss,Tragic,Criminal Investigation,Argument,Confrontation,Hurt"
"Out of Sticks-MG-JP","upbeat groovy,on the hunt,House Hunting,Beachfront Bargain,renovation,HGTV,New Home,remodeling,groovy reality"
"LL Wheels in Motion-JP","active moment,drama bed,Investigation,Detectives,on the hunt,Dramatic Moment,Loss,Tragic,Criminal Investigation,Argument,Confrontation,Hurt"
"LL Wait and Watch-JP","active moment,drama bed,Investigation,Detectives,on the hunt,Dramatic Moment,Loss,Tragic,Criminal Investigation,Argument,Confrontation,Hurt"
"LL Time Out-JP","active moment,drama bed,Investigation,Detectives,on the hunt,Dramatic Moment,Loss,Tragic,Criminal Investigation,Argument,Confrontation,Hurt"
"LL Thoughful Prayer-JP","active moment,drama bed,Investigation,Detectives,on the hunt,Dramatic Moment,Loss,Tragic,Criminal Investigation,Argument,Confrontation,Hurt"
"LL The Feud-JP","active moment,drama bed,Investigation,Detectives,on the hunt,Dramatic Moment,Badass,Action sequence,Criminal Investigation,Argument,Confrontation,Hurt,Adrenaline,Powerful"
"LL Staring Match-JP","active moment,drama bed,Investigation,Detectives,on the hunt,Dramatic Moment,Loss,Tragic,Criminal Investigation,Argument,Confrontation,Hurt,Trap,Badass,Action sequence"
"LL Standing Aside-JP","active moment,drama bed,Investigation,Detectives,on the hunt,Dramatic Moment,Loss,Tragic,Criminal Investigation,Argument,Confrontation,Hurt"
"LL Stand Your Ground-JP","active moment,drama bed,Investigation,Detectives,on the hunt,Dramatic Moment,Loss,Tragic,Criminal Investigation,Argument,Confrontation,Hurt"
"South Of The Border 001-JP","Zesty,Spicy,Salsa,Mexican,Latin,Pop,Vacation,frisky,Latin American"
"Drones Build Tension-JP","CSI,Law and Order,SVU,NCIS,american crime story,Intense,Nervous,Crime Scene,criminal minds"
"LL Stand Together-JP","active moment,drama bed,Investigation,Detectives,on the hunt,Dramatic Moment,Loss,Tragic,Criminal Investigation,Argument,Confrontation,Hurt"
"LL Secrets Revealed-JP","active moment,drama bed,Investigation,Detectives,on the hunt,Dramatic Moment,Loss,Tragic,Criminal Investigation,Argument,Confrontation,Hurt"
"Captain Hammerhead-MG-JP","upbeat groovy,on the hunt,House Hunting,Beachfront Bargain,renovation,HGTV,New Home,remodeling,groovy reality"
"LL Search Inside-JP","active moment,drama bed,Investigation,Detectives,on the hunt,Dramatic Moment,Loss,Tragic,Criminal Investigation,Argument,Confrontation,Hurt"
"LL Rivalry-JP","active moment,drama bed,Investigation,Detectives,on the hunt,Dramatic Moment,Loss,Tragic,Criminal Investigation,Argument,Confrontation,Hurt"
"LL Play Your Cards-JP","active moment,drama bed,Investigation,Detectives,on the hunt,Dramatic Moment,Loss,Tragic,Criminal Investigation,Argument,Confrontation,Hurt"
"LL Just An Observation-JP","active moment,drama bed,Investigation,Detectives,on the hunt,Dramatic Moment,Loss,Tragic,Criminal Investigation,Argument,Confrontation,Hurt"
"LL Heart Searching-JP","active moment,drama bed,Investigation,Detectives,on the hunt,Dramatic Moment,Loss,Tragic,Criminal Investigation,Argument,Confrontation,Hurt"
"LL Finding Peace-JP","active moment,drama bed,Investigation,Detectives,on the hunt,Dramatic Moment,Loss,Tragic,Criminal Investigation,Argument,Confrontation,Hurt"
"LL Feeling The Pressure-JP","active moment,drama bed,Investigation,Detectives,on the hunt,Dramatic Moment,Loss,Tragic,Criminal Investigation,Argument,Confrontation,Hurt"
"LL Facing Up-JP","active moment,drama bed,Investigation,Detectives,on the hunt,Dramatic Moment,Loss,Tragic,Criminal Investigation,Argument,Confrontation,Hurt,bold and dramatic,Action sequence,Syfy,Science Fiction,bold synths"
"LL Eyes Fixed-JP","active moment,drama bed,Investigation,Detectives,on the hunt,Dramatic Moment,Loss,Tragic,Criminal Investigation,Argument,Confrontation,Hurt"
"LL Decisions Decisions-JP","active moment,drama bed,Investigation,Detectives,on the hunt,Dramatic Moment,Loss,Tragic,Criminal Investigation,Argument,Confrontation,Hurt"
"LL Cutting Your Teeth-JP","active moment,drama bed,Investigation,Detectives,on the hunt,Dramatic Moment,Loss,Tragic,Criminal Investigation,Argument,Confrontation,Hurt,Trouble Brewing"
"LL Comforting Soul-JP","active moment,drama bed,Falling in Love,Relationship,Romantic,Lovers,Loss,getting together,longing"
"LL Yonder Mountain-JP","Bluegrass,classic americana,Midwest,Appalachian,Small Town,Rustic,Organic,old timey,American Roots,cowboy life,plucky acoustic,Carefree"
"LL Southern Draw-JP","Bluegrass,classic americana,Midwest,Appalachian,Small Town,Rustic,Organic,old timey,American Roots,cowboy life,plucky acoustic,Carefree"
"LL Simple Life V2-JP","Bluegrass,classic americana,Midwest,Appalachian,Small Town,Rustic,Organic,old timey,American Roots,cowboy life,plucky acoustic,Carefree"
"LL Mountain Trail-JP","Bluegrass,classic americana,Midwest,Appalachian,Small Town,Rustic,Organic,old timey,American Roots,cowboy life,plucky acoustic,Carefree"
"LL Mountain Music-JP","Bluegrass,classic americana,Midwest,Appalachian,Small Town,Rustic,Organic,old timey,American Roots,cowboy life,plucky acoustic,Carefree"
"LL Moody Moon v2-JP","Bluegrass,classic americana,Midwest,Appalachian,Small Town,Rustic,Organic,old timey,American Roots,cowboy life,plucky acoustic,Carefree"
"LL Grass Swamp-JP","Bluegrass,classic americana,Midwest,Appalachian,Small Town,Rustic,Organic,old timey,American Roots,cowboy life,plucky acoustic,Carefree"
"LL Getting Dirty v2-JP","Bluegrass,classic americana,Midwest,Appalachian,Small Town,Rustic,Organic,old timey,American Roots,cowboy life,plucky acoustic,Carefree"
"LL Cumberland Gap-JP","Bluegrass,classic americana,Midwest,Appalachian,Small Town,Rustic,Organic,old timey,American Roots,cowboy life,plucky acoustic,Carefree"
"LL Bluegrass Breakdown V2-JP","Bluegrass,classic americana,Midwest,Appalachian,Small Town,Rustic,Organic,old timey,American Roots,cowboy life,plucky acoustic,Carefree"
"Got More Things-MG-JP","Tough Guys,biker music,Happy Go Lucky,rough and tumble,fun but tough,out on the hunt"
"Hello 003-JP","Smooth,Sexy,Grooving,Cool,Chill,Laid Back,flirting,flirty"
"Try Harder 002-JP","institucional,inspirador,Crescendo,Rock,Pop,Positive"
"Transparent Softness-JP","Lonely,triste,emocional,Classical,Film Soundtrack,Melancholic"
"Tell Me Your History-JP","superacao,Motivacional,institucional,Classical,Orchestral,Sentimental"
"Like a Child 001-JP","emocional,Crescendo,superacao,Classical,Orchestral,Sentimental"
"Happy World 002-JP","BRAZIL,escola de samba,World Cup,Latin,Brazilian,Happy"
"Duality-JP","Crescendo,Otimista,institucional,Rock,Pop,Positive"
"Clap Rock-JP","Indie Rock,Hipster,Fun,Rock,Indie,Happy"
"Carioca-JP","Funk,Blues,Futebol,Rock,Acoustic,Positive"
"Bollywood Dream 001-JP","Indie pop,Hipster,Danca do Ventre,Rock,Pop,Happy"
"Afternoon 001-JP","Fun,Good Times,Disney Channel,Rock,Pop,Happy"
"War Command-JP","Trailer,Marvel,batalha,Classical,Film Soundtrack,Aggressive"
"Unforgettable Facts-JP","tenso,Crescendo,Acao,Classical,Film Soundtrack,Aggressive"
"Tribal Energy-JP","artes marciais,Suspense,Japan,World,Asian,reflective"
"The Ultimate Conquest-JP","Action,Trailer,Marvel,Orchestral,Contemporary,Aggressive"
"Stranger Fellings-JP","Experimental,Crescendo,Adidas,Electronica,Dub step,reflective"
"Reverse Time-JP","Love,emocional,high school musicial,Pop,Teen,Sentimental"
"Minimal Memories-JP","Club Dance,Car,electro,Electronica,House,Positive"
"Heavy Dust-JP","Nike,Vinheta,futurista,Electronica,Dub step,Positive"
"Early Night-JP","Apple,Crescendo,Dub step,Orchestral,Contemporary,Positive"
"Downhill-JP","abertura,ESPN,NASCAR,Electronica,Experimental,reflective"
"Dark Necessities-JP","Dark,Nike,Adidas,Electronica,Dub step,reflective"
"Bigger Then Us-JP","Crescendo,emocional,Inception,Orchestral,Contemporary,Positive"
"Metal X-JP","ESPN,Guitar Hero,UFC,Rock,Metal,Positive"
"Summer Cruisin Full-JP","youthful,Young,Teen,Playful,Bubbly,bouncy"
"Friday With My Besties Full-JP","Trap,Upbeat,Exciting,Energetic,Tough,Proud"
"Sparse Angelic Guitar-JP","intruiging,Mysterious,Light,Angelic,Emotive,hopeful,Romantic,First Kiss"
"Pretty Drama Harp-JP","Angelic,moody,atmospheric,Mysterious,Mystery,Asian,Ancient,Tension,Far East"
"Extreme Action Rock-JP","Driving,Exciting,Energetic,synth driven,driven,Car Commercial,Fast,Fast Car"
"The Nameless City Minimalist Score-JP","Minimalism,Minimalist,Modern,Orchestral,Building,hopeful"
"The Art of Horror Cyber-JP","Halloween,Scary,Horror,Terror,Spooky,Soundscape"
"The Art of Horror Swarm-JP","Halloween,Scary,Horror,Terror,Spooky,Soundscape"
"The Art of Horror Scratches-JP","Halloween,Scary,Horror,Terror,Spooky,Soundscape"
"The Art of Horror Nursery-JP","Halloween,Scary,Horror,Terror,Spooky,Soundscape,music box,Nursery,Haunted"
"Lovers Gumbo-instr-JP","Sexy,Laid Back,Smooth,baller,Chill,Relaxed"
"Epic Instr-JP","Battle"
"Dry Diggins Instr-JP","Western Blues"
"S‏ir Swing A Lot Instr-JP","Electro Swing"
"Sweet Swing Instr Alt-JP","Electro Swing"
"Sweet Swing Instr-JP","Electro Swing"
"The Champ Enters-JP","Tonight's Challenge,faceoff,Tension,Light Tension,Strut,Swagger"
"Addicted To Winning-JP","Tonight's Challenge,faceoff,Tension,Light Tension,Strut,Swagger"
"The Blues Is Rocking-JP","Swagger,Strut,Proud,Bluesy,Blues,Rock"
"Keep Winning-JP","Tonight's Challenge,faceoff,Tension,Light Tension,Strut,Swagger"
"The View From Above-JP","frozen,icy,Snowy,Snow,Winter,frosted,Melancholic,Beautiful,Poignant,Planet Earth,Blue Planet,glistening,Shimmering"
"Run Up Instr-JP","Heavy,Tense,Badass,Trap,Tough,Ghetto,Gangsta"
"Urban Warriors-JP","Proud,stomping,percussive,Urban,Modern,Hip Hop"
"On The Down Low-JP","Swagger,Strut,Sexy,Smooth,Chill,Laid Back"
"Grab and Go-MG-JP","upbeat groovy,on the hunt,House Hunting,Beachfront Bargain,renovation,HGTV,New Home,remodeling,groovy reality"
"Best Sellers-MG-JP","Tough Guys,biker music,Happy Go Lucky,rough and tumble,fun but tough,out on the hunt"
"Summer of Sun-MG-JP","Celebration,Happy Ending,Success,house remodel,Beachfront Bargain Hunt,Happy Day,Summer Vacation"
"Save That Money-MG-JP","Tough Guys,biker music,Happy Go Lucky,rough and tumble,fun but tough,out on the hunt"
"Best I Ever Had-MG-JP","Tough Guys,biker music,Happy Go Lucky,rough and tumble,fun but tough,out on the hunt"
"Ectoplasm-JP","Deep,Club,Dance,2AM"
"When Day is Done-JP","Mysterious,Romantic,Hopeless romantic,Film Noir,Noir,Nostalgic,longing,Romance"
"Sleepless Night-JP","Mysterious,Lurking,Ominous,Mystery,Murder Mystery,Crime,Murder,Noir,Film Noir"
"Mysterious Tribal Music-JP","Mysterious,Lurking,Ominous,Mystery,Murder Mystery,Crime,Murder,Horror,Tribal,Twin Peaks"
"Italian Love Affair 001-JP","Romantic,Lilting,Whimsical,Heartfelt,Love,In love,Romance,Yearning"
"Gentleness-JP","Love,Romantic,Mysterious,Mystery,Gentle,Relaxed,Twin Peaks"
"Exotic Nature-JP","Mysterious,Lurking,Ominous,Mystery,Murder Mystery,Crime,Murder,Horror"
"Did You Ever See a Lassie Short-JP","Mysterious,Lurking,Ominous,Mystery,Murder Mystery,Crime,Murder,Horror"
"Dark Closet-JP","Mysterious,Lurking,Ominous,Mystery,Murder Mystery,Crime,Murder,Horror"
"A Nightmare Lullaby-JP","Mysterious,Lurking,Ominous,Mystery,Murder Mystery,Crime,Murder,Horror"
"The Punk Express-JP","Driving,Upbeat,Tough,Proud,Strong,Punk"
"Pop Punk 001-JP","Upbeat,Exciting,BBQ,Fun,Pop Punk,Teen"
"Action in Minor-JP","Latin Pop,Upbeat,bouncy,Bubbly,Fun,Funky"
"Witness to the Unexplained-JP","Paranormal,Strange,Scary,Spooky,american crime story,Tense"
"Romance Hop-JP","Sexy,Laid Back,Sensual,Smooth,Proud,baller,Chill"
"Nightlight-JP","atmospheric,Nighttime,Sensual,reflective,Sexy,Night"
"Hanks Country Christmas-JP","Honky Tonk,Saloon,Xmas,Christmas,Country,Holidays"
"Dream Groove-JP","Sexy,porno,Porn,Laid Back,Relaxed,Sensual,Groovy"
"Soaking Up Sunshine-JP","folky,folk,Folksy,Laid Back,Relaxed,Mellow,60s,60s folk pop,Smooth"
"Hearts Will Mend-JP","folky,folk,Folksy,Laid Back,Relaxed,Mellow,60s,60s folk pop,Smooth"
"Blue and Amber Flame-JP","folky,folk,Folksy,Laid Back,Relaxed,Mellow,60s,60s folk pop,Smooth"
"Baila Querida-MG-JP","honduras,central americano,hondurian,Vacation,Paradise,Tropical Vacation"
"Neon Coral Revised v2-MG-JP","beach bargain hunt,beachfront,venice ca,Carefree,Fun in the Sun,beach bikers,upbeat fun,Paradise,Vacation"
"Say-JP","Pop,Dance,Love"
"Invincible 006-JP","Pop,Dance,Boy Band,Love"
"Buen Negocio-MG-JP","honduras,central americano,hondurian,Vacation,Paradise,Tropical Vacation"
"Better Than Me-JP","Pop,RnB,Soulful,Love"
"Drug-JP","Pop,Dance,Electronic,edm"
"Live Forever 2-JP","Hip-Hop,Rap,Pop,Horror"
"Walk The Walk 006-JP","Tension,the people vs oj simpson,american crime story,Tense,Nervous,Worried"
"Into The Storm-JP","Tension,the people vs oj simpson,american crime story,Tense,Nervous,Worried"
"Bold Moves 002-JP","Tension,Urban,Nervous,Anxious,Waiting,Tense,Real Housewives,Atlanta"
"Bittersweet Full-JP","Laid Back,Chill,Smooth,R&B,Cool,baller"
"Just Like Me Full-JP","Laid Back,Chill,Smooth,R&B,Cool,baller"
"Again, Again-MG-JP","beach bargain hunt,beachfront,venice ca,Carefree,Fun in the Sun,beach bikers,upbeat fun,Paradise,Vacation"
"High Confidence-JP","Tense,Tension,troubling revelation,gone wrong,secrets revealed,Anxious,Nervous,Quirky Tension"
"Far Away Home-MG-JP","Celebration,Carefree,Pop Rock,Inspiring,Optimistic,hopeful,new house,Beachfront Bargain,what a deal,great savings,beautiful location,Tropical Paradise,Summer Sun,Thankful,Finale"
"Get On Home-MG-JP","Celebration,Carefree,Pop Rock,Inspiring,Optimistic,hopeful,new house,Beachfront Bargain,what a deal,great savings,beautiful location,Tropical Paradise,Summer Sun,Thankful,Finale"
"Plants-MG-JP","beach bargain hunt,beachfront,venice ca,Carefree,Fun in the Sun,beach bikers,upbeat fun,Paradise,Vacation"
"Hide Out-MG-JP","shoreline tension,Tense Moment,going wrong,Troubled,problems brewing,Anxiety,Worried,high prices"
"Sneaky Ds-MG-JP","shoreline tension,Tense Moment,going wrong,Troubled,problems brewing,Anxiety,Worried,high prices"
"Skared To Dance-MG-JP","upbeat rock,beachy fun,Fun in the Sun,Paradise,having a ball,playful day,Celebration,Happy Ending"
"Smoke Em Up-MG-JP","upbeat rock,beachy fun,Fun in the Sun,Paradise,having a ball,playful day,Celebration,Happy Ending"
"What It Means-MG-JP","Celebration,Carefree,Pop Rock,Inspiring,Optimistic,hopeful,new house,Beachfront Bargain,what a deal,great savings,beautiful location,Tropical Paradise,Summer Sun,Thankful,Finale"
"Robotics Invento_r3-JP","Cute,Family,Fun,Robots"
"Vice Challenged V2-JP","pop edm,happy electronica,Fashion Week,Fashionable,Fashion show,Catwalk,super models,Project Runway,Glamorous,Dance Pop,cool night club,hot and sweaty pop,mainstage edm,ultra music,tomorrowland festival"
"Sticky Sunday_V2-MG-JP","beach bargain hunt,beachfront,venice ca,Carefree,Fun in the Sun,beach bikers,upbeat fun,Paradise,Vacation"
"Hip Hop Spa-JP","Hypnotizing,Hypnotic,Spa,Massage,therapy,Hip Hop,Asian,Eastern,therapeutic,Sexy,the people v oj simpson"
"Game Time Swagger-JP","Dope,Swagger,Strut,Proud,baller,Dope Beat"
"Dope Baller-JP","Proud,Swagger,Strut,Dope,baller,stepping out"
"Cheating Fate-JP","Tense,Tension,troubling revelation,gone wrong,secrets revealed,Anxious,Nervous,Quirky Tension"
"Las Olas remix-MG-JP","honduras,central americano,hondurian,Vacation,Paradise,Tropical Vacation"
"County Fair-Instr-JP","Country,Upbeat,Hick,hill billy,Hillbilly,Backwoods"
"Goin For It-MG-JP","beach bargain hunt,beachfront,venice ca,Carefree,Fun in the Sun,beach bikers,upbeat fun,Paradise,Vacation"
"Indie and Proud V2-MG-JP","upbeat rock,beachy fun,Fun in the Sun,Paradise,having a ball,playful day,Celebration,Happy Ending"
"Stained Glass-JP","Proud,Driving,Swagger,Strut,Bluesy,Indie Blues"
"Remarks-JP","Gospel,Blues,Proud,Happy,Triumphant,Upbeat"
"Rear End-JP","Retro,Blues Rock,Indie Blues,Strut,Proud,Swagger"
"Not With Me-JP","Driving,Hard,Tough,Exciting,Energetic"
"Dry Valley-JP","Bar,Smoky,Bluesy,Raunchy,Motorcycles,Country"
"Decent Remains-JP","Tense,percussive,Mysterious,Crime,Techy,Dark"
"Incognito 002-JP","Spy,Detective,Retro,Funky,Undercover,Private Eye,007,Mission Impossible"
"Hook Me Up-JP","Funky,Funk,Jammy,Jam,Upbeat,Jam Band"
